id,shipper_id,vehicle_type_id,goods_type_id,weight_kg,is_hazardous,mode,status,pickup_city,drop_city,distance_km,allow_consolidation,fare_estimated,advance_payment_pct,scheduled_at
efd25c25-454d-46ca-9e9a-3833619795d6,a7645519-9b3e-476f-8d8a-8a010697b4eb,7,12,6192.7,False,single,delivered,Agra,Kanpur,244.4,False,11363.02,90,2026-09-05T02:51:20.263207
c639fbff-9171-4716-895b-f75c9629f2a1,76f544ba-8998-4824-b4d5-56daa98c200a,6,6,2886.6,False,relay,cancelled,Agra,Hyderabad,1340.2,False,51877.19,90,2026-09-04T01:51:20.265064
8001df3a-08b6-4fa5-9823-43a4b730ad42,ea7b654c-22fa-4491-ab89-99c8a8867ddd,5,9,3041.2,False,single,delivered,Mumbai,Pune,120.2,False,4935.18,90,2026-09-08T08:51:20.269808
45020081-e260-4c9e-9c5f-a5ae2c119b0b,0dc0c367-01cf-40ab-b90a-05ea11e33f4a,6,18,2884.1,False,single,delivered,Delhi,Agra,178.1,False,7716.3,90,2026-09-07T03:51:20.271142
3119c52e-a0a1-4794-b01f-99dd5b3ddbed,b492e2f5-6a42-4f99-be10-1e4f3b586961,12,10,7552.3,False,relay,in_progress,Indore,Hyderabad,799.3,False,54952.82,80,2026-09-05T14:51:20.272549
3ef2bd11-186b-4af5-9f61-40fe93be1782,2b486a78-d8e7-4e32-8e0d-83d29071cef6,9,14,5959.3,False,single,delivered,Hyderabad,Pune,505.8,False,30016.48,80,2026-09-08T09:51:20.275477
b02f4683-a8aa-46d0-b13d-12d0981a4cf2,acf70833-a3ac-4efb-bf9f-004b099d3b76,10,11,4506.3,False,single,delivered,Kolkata,Nagpur,970.1,False,62948.24,90,2026-09-06T05:51:20.277475
676b4666-d6da-456a-9b7d-60b8eda8d5a7,c115ef9a-c3d3-4ecc-8811-204f2f9cc20b,8,13,4082.6,False,relay,in_progress,Hyderabad,Mumbai,625.9,False,30091.7,90,2026-09-03T16:51:20.279769
61236dd4-e2f1-45de-9846-9a98eab2aecc,51efcc79-33f3-4355-a328-afb72c842614,9,22,6355.4,False,single,delivered,Hyderabad,Nagpur,422.9,True,25460.55,90,2026-09-08T20:51:20.282683
1b761564-ee92-489f-8f61-9ba7655bb5e9,ec1e4398-36b8-450f-b963-19359949e34c,12,11,11153.0,False,single,delivered,Delhi,Jaipur,235.3,False,18293.87,80,2026-09-03T16:51:20.285602
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,bfdb26b1-0506-4a6c-9fb9-f9174984b376,12,8,12652.8,False,relay,delivered,Delhi,Hyderabad,1518.2,False,101686.24,80,2026-09-04T18:51:20.287249
f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,76f544ba-8998-4824-b4d5-56daa98c200a,11,17,6996.2,False,relay,delivered,Hyderabad,Mumbai,625.9,False,38702.57,80,2026-09-07T17:51:20.292965
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,3a383b31-c880-407c-a179-71f2a88107fc,11,13,6739.2,False,relay,delivered,Surat,Delhi,983.5,True,59440.39,90,2026-09-05T11:51:20.295359
2754b607-62ff-4ff3-9104-dbfe505cd22b,04582f7f-ed21-4cdd-bcd8-78f4cf0352e5,6,21,3846.5,False,relay,delivered,Agra,Bangalore,1840.2,True,70876.94,90,2026-09-08T02:51:20.298873
a6b23575-52eb-4a6f-bafb-25a1798c1e8e,6c310b34-f78a-40ad-b220-742a88107c5c,5,15,4287.9,False,relay,delivered,Hyderabad,Delhi,1518.2,True,52470.5,90,2026-09-07T05:51:20.304019
3e06902c-652c-415e-93f3-31c0f7c5b45d,06d5365a-26eb-48dd-ae1b-7ea110ad54fe,6,12,2266.8,False,single,delivered,Kanpur,Agra,244.4,False,10235.59,90,2026-09-05T14:51:20.309138
7ba4808c-2c2a-4d45-8b20-3d65afd7e3ae,1194059e-ad07-4b75-b221-99930a47c946,4,11,3158.2,False,single,delivered,Mumbai,Pune,120.2,False,4304.57,90,2026-09-03T15:51:20.310567
b199014e-c8c0-41f3-9bb6-e99da881c365,b7a6360c-db10-4b79-8d2e-c1e8ed83ba8d,6,8,3377.3,False,single,delivered,Lucknow,Agra,319.7,False,13097.97,90,2026-09-08T15:51:20.311649
49fc4b6e-ff31-4d4e-a9a8-f633d9b3f2fd,0d40c9b7-2d30-4bf8-80aa-28c821e3e77e,8,13,3960.2,False,single,cancelled,Mumbai,Pune,120.2,True,6827.01,80,2026-09-08T21:51:20.313020
f3804879-7198-4371-adfc-0b68958734fd,dfe38341-ca49-46d7-ad32-5e3eb2212bc0,11,7,6153.8,False,single,delivered,Nagpur,Hyderabad,422.9,True,26929.31,80,2026-09-03T16:51:20.314358
62704371-123b-4455-a471-0cb9e1bc4b1a,9e263c2e-2cf7-44cd-81e5-75a0252945a1,12,7,12473.0,False,single,delivered,Agra,Indore,540.9,True,38159.48,90,2026-09-05T05:51:20.316292
900c772b-766b-42ef-b0c8-129c1ccf10d7,76f544ba-8998-4824-b4d5-56daa98c200a,12,12,11853.4,False,single,delivered,Nagpur,Kolkata,970.1,False,66058.63,90,2026-09-06T23:51:20.318584
60174973-cba4-495e-810f-79e378dfb3fe,ac88543f-e08e-4905-a612-03108c121e77,9,1,15122.9,False,single,delivered,Kanpur,Lucknow,75.3,False,6342.92,90,2026-09-03T21:51:20.322324
248ec5ba-37b2-462b-af45-39005d0461e6,7a1bf95b-8ddc-4f32-ab6e-622e3c3458c8,13,11,17285.8,False,single,in_progress,Nagpur,Mumbai,688.0,False,53137.42,90,2026-09-08T05:51:20.324232
886d0ab5-4a9b-4950-a585-d8d68e0be93c,8954a194-e046-4e2c-a608-b07aa40c26bd,11,17,6820.2,False,relay,in_progress,Delhi,Indore,719.0,False,44100.59,90,2026-09-02T22:51:20.326875
87eb2522-e4f9-4f44-8c1b-b461a09ffc74,e5258953-268d-4e11-b71a-c19edda49cd2,12,17,5905.6,False,single,delivered,Agra,Indore,540.9,False,38159.48,80,2026-09-03T13:51:20.329862
09f39325-934b-471f-b59e-2bd4273c59b0,a42fbc97-be1c-48df-ae6c-fc57046f0193,6,5,2190.9,False,relay,delivered,Kanpur,Delhi,422.4,False,17001.89,80,2026-09-07T08:51:20.331793
3f1b6d61-91c8-4c09-b64b-174151917066,96e0997f-71e3-49bb-9385-df9a5edbd8ec,7,12,4667.3,False,single,in_progress,Kolkata,Nagpur,970.1,False,41845.58,80,2026-09-03T23:51:20.333827
73f667d6-dfba-4207-8471-1471e0fa3f2d,3739c72a-20b4-44d4-b7a8-f273b36cc3b6,10,9,6938.9,False,single,delivered,Pune,Hyderabad,505.8,False,34156.76,80,2026-09-05T05:51:20.336609
abcc1269-7d22-4322-9c5e-ad8c3e27f61a,d2dcf6fa-48e9-4efc-ae7e-fd8c6782a43a,3,1,1581.1,False,single,delivered,Nagpur,Mumbai,688.0,False,16962.47,80,2026-09-03T02:51:20.339733
5186df5f-6ed8-4587-a5e8-730e82c8e9ed,9ecf3184-be14-4e87-8eb0-7cf6075b8801,9,12,4645.9,False,single,delivered,Pune,Hyderabad,505.8,False,30016.48,80,2026-09-08T17:51:20.341717
89cc8959-51d0-45b5-ac54-8ff1227f2b4c,bfdb26b1-0506-4a6c-9fb9-f9174984b376,10,16,10599.8,False,relay,delivered,Chandigarh,Delhi,375.8,False,26101.74,80,2026-09-06T20:51:20.343575
56d7b728-fe0a-464b-bce4-7af2983d5b6d,b70babee-6437-4c10-867e-70855a5d76bc,3,20,1637.1,False,relay,delivered,Hyderabad,Agra,1340.2,False,32614.54,80,2026-09-08T19:51:20.346059
88d0d480-b78b-45a8-9812-f7d8d8a471b7,acf70833-a3ac-4efb-bf9f-004b099d3b76,9,19,9405.0,False,relay,delivered,Mumbai,Hyderabad,625.9,False,36624.85,80,2026-09-07T19:51:20.349514
9cdb30cb-3e2a-4721-992d-b7fec2ebad6f,c722a9a6-9f4d-465a-8fc9-be9b8c2950cf,12,23,9514.6,False,single,delivered,Indore,Agra,540.9,False,38159.48,80,2026-09-03T02:51:20.366243
afee2a8a-2d5d-4868-8ea3-71efe17b508d,06026cca-64bc-4f03-a479-e510ca475f6b,11,10,4531.8,False,relay,delivered,Mumbai,Hyderabad,625.9,False,38702.57,90,2026-09-06T01:51:20.367913
6adb0396-5766-41ab-b773-7ed29da4883b,9f27e1b9-013a-4442-89e7-cdad839d9e13,5,10,3245.3,False,single,delivered,Jaipur,Ahmedabad,540.5,False,19225.91,90,2026-09-07T21:51:20.370336
73e8644d-5dea-4c72-a4c9-9bccc400ac1d,06026cca-64bc-4f03-a479-e510ca475f6b,2,6,830.5,False,relay,in_progress,Delhi,Kanpur,422.4,False,8798.36,80,2026-09-03T10:51:20.372735
