driver_id,segment_id,lat,lon,speed_kmph,source,recorded_at
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.19541,77.98606,42.2,gps,2026-09-05T02:51:20.263207
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.15054,78.06645,42.2,gps,2026-09-05T03:01:47.277653
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.10582,78.16359,45.4,gps,2026-09-05T03:12:14.292099
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.11804,78.20649,35.8,gps,2026-09-05T03:22:41.306544
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.10164,78.29257,48.6,gps,2026-09-05T03:33:08.320990
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.06267,78.33369,50.2,gps,2026-09-05T03:43:35.335436
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.02159,78.45132,45.7,gps,2026-09-05T03:54:02.349882
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.04436,78.50349,52.1,gps,2026-09-05T04:04:29.364328
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,27.01859,78.57591,37.2,gps,2026-09-05T04:14:56.378773
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.95946,78.62173,53.0,gps,2026-09-05T04:25:23.393219
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.94609,78.73385,40.2,gps,2026-09-05T04:35:50.407665
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.95044,78.8022,37.4,gps,2026-09-05T04:46:17.422111
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.93397,78.83745,42.6,gps,2026-09-05T04:56:44.436557
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.87685,78.90207,53.2,gps,2026-09-05T05:07:11.451002
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.8835,79.01472,43.7,gps,2026-09-05T05:17:38.465448
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.84128,79.07089,39.2,gps,2026-09-05T05:28:05.479894
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.80564,79.15803,37.4,gps,2026-09-05T05:38:32.494340
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.822,79.23095,43.3,gps,2026-09-05T05:48:59.508786
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.79706,79.29624,33.9,gps,2026-09-05T05:59:26.523231
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.73255,79.35883,37.3,gps,2026-09-05T06:09:53.537677
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.72714,79.43975,51.5,gps,2026-09-05T06:20:20.552123
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.73053,79.50656,50.4,gps,2026-09-05T06:30:47.566569
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.70896,79.54469,43.2,gps,2026-09-05T06:41:14.581014
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.68568,79.60653,41.5,gps,2026-09-05T06:51:41.595460
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.66824,79.71752,44.1,gps,2026-09-05T07:02:08.609906
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.61109,79.78567,55.6,gps,2026-09-05T07:12:35.624352
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.60192,79.82844,45.9,gps,2026-09-05T07:23:02.638798
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.59801,79.89467,48.4,gps,2026-09-05T07:33:29.653243
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.53427,79.96322,42.8,gps,2026-09-05T07:43:56.667689
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.52871,80.06992,44.1,gps,2026-09-05T07:54:23.682135
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.54121,80.10871,47.1,gps,2026-09-05T08:04:50.696581
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.5016,80.18564,44.5,gps,2026-09-05T08:15:17.711027
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.49793,80.26344,34.3,gps,2026-09-05T08:25:44.725472
0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,4fcf0c4c-39db-4232-8b38-bf84dd038ee6,26.47364,80.31111,50.2,gps,2026-09-05T08:36:11.739918
7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,7a19578d-9805-4ade-af2b-c0325be033f0,27.20287,77.98732,27.2,gps,2026-09-04T01:51:20.265064
7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,7a19578d-9805-4ade-af2b-c0325be033f0,27.14647,77.96634,34.3,gps,2026-09-04T02:01:30.872393
7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,7a19578d-9805-4ade-af2b-c0325be033f0,27.04842,77.95463,40.3,gps,2026-09-04T02:11:41.479722
7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,7a19578d-9805-4ade-af2b-c0325be033f0,27.0223,77.94965,31.1,gps,2026-09-04T02:21:52.087051
7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,7a19578d-9805-4ade-af2b-c0325be033f0,26.97949,77.93188,35.0,gps,2026-09-04T02:32:02.694380
