id,segment_from_id,segment_to_id,hub_id,otp_code,disputed,distance_from_hub_km
89be481a-2fad-4dd1-8c37-6e85a0bf2fca,7a19578d-9805-4ade-af2b-c0325be033f0,620622b9-a6e9-478f-9d23-2cc79ffd8fd7,2ddf4880-95a6-4875-857d-f1d095b7fc48,851413,False,0.15
e5002513-4ce7-48b4-9924-a66ba59c88c8,620622b9-a6e9-478f-9d23-2cc79ffd8fd7,3d46e329-e7b0-4fdf-8206-da4cbf29cd19,faa81e93-f79d-4d3d-9240-87cdf9df3633,535673,False,0.42
d736e9b1-4822-4224-917a-43f577d5cf4b,66716ac8-e7c3-4613-9450-d29a5ddfb40e,ea766361-4323-4cc1-9bfb-d159207b1c2d,faa81e93-f79d-4d3d-9240-87cdf9df3633,564637,False,0.33
be477ed2-fbef-4a6e-a4b8-4820879b02a2,bff1f56b-2c0a-4507-9315-c27f886d3949,3a6b07fb-2433-440d-9973-051354b082a4,8fba1efa-7c25-4a5b-b271-bb1ac4460664,813813,False,0.32
4ce933ce-bfff-4813-80aa-098f31f6067d,dca47efc-10b5-46f2-8336-2be083446d8b,af610934-448f-4b6e-894b-d5fefbc6a5fa,c2f4b9b4-48ee-4746-958f-6169ba532344,963274,False,0.5
0db398f0-07dd-4d00-8220-29116a81854d,af610934-448f-4b6e-894b-d5fefbc6a5fa,a1484df6-8a4b-4a76-b471-adb98b2f6349,2ddf4880-95a6-4875-857d-f1d095b7fc48,893547,False,0.02
9a68d8d4-fa72-4145-9246-287499361e89,a1484df6-8a4b-4a76-b471-adb98b2f6349,aa8c42cf-54e2-4707-9b70-b10334beb567,faa81e93-f79d-4d3d-9240-87cdf9df3633,672892,False,0.11
501b4145-f78a-45db-a156-bdb1005897c1,c0a844c1-a56e-4f96-9a88-6025df70a67f,fbd38a3a-b54c-4e2a-9b5b-e22b71825338,8fba1efa-7c25-4a5b-b271-bb1ac4460664,765105,False,0.38
6da6fc37-6d09-4081-881f-f8cf74f52055,7c35c122-e154-4101-b1ff-36faf202c1af,41b9175f-b076-4a16-a01a-32b1ed585b96,9e7e9588-92a7-42c9-9eef-e79c1acf67b7,838761,False,0.47
4a963dbc-1a14-4272-80f3-7351a383ad06,41b9175f-b076-4a16-a01a-32b1ed585b96,57e677b7-6ff8-444a-b877-bbdeb8c1baad,5dbdf32d-78de-4094-b415-861af0ca99a2,205939,False,0.17
0f45c6ca-055b-4c34-8ec2-c2fa21ba5af6,8bc9de26-81c6-4c06-8d44-55255024b0df,5c7933c9-9300-4a8d-bbfd-ef3cb38546b3,2ddf4880-95a6-4875-857d-f1d095b7fc48,990079,False,0.23
811b8d23-3b5d-49ad-a855-00ad90384c4b,5c7933c9-9300-4a8d-bbfd-ef3cb38546b3,168ad23d-abef-49cd-bf5a-ce837502f815,faa81e93-f79d-4d3d-9240-87cdf9df3633,273438,False,0.04
4ab53fac-9656-49b4-93d6-ee2aa4f4627f,168ad23d-abef-49cd-bf5a-ce837502f815,7aa02893-9551-4a3b-bdee-09507e0d930e,288de4cd-bf1a-4a25-847c-68865d138b36,352593,False,0.17
c3b21db5-0084-488f-aa46-55c9bc439108,4e1600a2-6321-40c8-8826-571be6123259,042c7d32-8edc-4740-bab9-dd6fe9afe1b0,faa81e93-f79d-4d3d-9240-87cdf9df3633,298202,False,0.0
7509c5dd-c227-41de-acaa-4f511502bd6d,042c7d32-8edc-4740-bab9-dd6fe9afe1b0,3255276f-e23f-475e-9b42-c6873186be99,2ddf4880-95a6-4875-857d-f1d095b7fc48,107459,False,0.29
31a473c6-b8e8-4ff7-99e5-e8f5577ffad3,3255276f-e23f-475e-9b42-c6873186be99,5aa2e2e3-a9cf-4e35-8563-4218f8fa326b,c2f4b9b4-48ee-4746-958f-6169ba532344,107543,False,0.19
