id,name,lat,lon,facilities
0fb6d6bd-1944-44a9-bf5b-45cdfc056219,Chandigarh Relay Hub,30.7333,76.7794,"{""parking"": true, ""food"": true, ""security"": true}"
a30de39d-9e98-4258-b754-758c8da83902,Ludhiana Relay Hub,30.901,75.8573,"{""parking"": true, ""food"": true, ""security"": true}"
69cc852b-0428-432f-9fd5-25c49064f57d,Delhi Relay Hub,28.6139,77.209,"{""parking"": true, ""food"": true, ""security"": true}"
c2f4b9b4-48ee-4746-958f-6169ba532344,Agra Relay Hub,27.1767,78.0081,"{""parking"": true, ""food"": true, ""security"": true}"
5dbdf32d-78de-4094-b415-861af0ca99a2,Jaipur Relay Hub,26.9124,75.7873,"{""parking"": true, ""food"": true, ""security"": true}"
9708822b-62d4-4ac2-ae57-f36abd36b0cb,Kanpur Relay Hub,26.4499,80.3319,"{""parking"": true, ""food"": true, ""security"": true}"
8bfcef99-cc0f-4cf1-a4d9-d5b3701d3add,Lucknow Relay Hub,26.8467,80.9462,"{""parking"": true, ""food"": true, ""security"": true}"
9e7e9588-92a7-42c9-9eef-e79c1acf67b7,Ahmedabad Relay Hub,23.0225,72.5714,"{""parking"": true, ""food"": true, ""security"": true}"
b091d926-3e9c-4a1f-a8da-f30db329106c,Surat Relay Hub,21.1702,72.8311,"{""parking"": true, ""food"": true, ""security"": true}"
2ddf4880-95a6-4875-857d-f1d095b7fc48,Indore Relay Hub,22.7196,75.8577,"{""parking"": true, ""food"": true, ""security"": true}"
faa81e93-f79d-4d3d-9240-87cdf9df3633,Nagpur Relay Hub,21.1458,79.0882,"{""parking"": true, ""food"": true, ""security"": true}"
88abd197-4e93-411c-bbaf-dee5889497f5,Mumbai Relay Hub,19.076,72.8777,"{""parking"": true, ""food"": true, ""security"": true}"
8fba1efa-7c25-4a5b-b271-bb1ac4460664,Pune Relay Hub,18.5204,73.8567,"{""parking"": true, ""food"": true, ""security"": true}"
288de4cd-bf1a-4a25-847c-68865d138b36,Hyderabad Relay Hub,17.385,78.4867,"{""parking"": true, ""food"": true, ""security"": true}"
c2f7ee9f-1216-47b9-a5b0-669d370f9fdb,Bangalore Relay Hub,12.9716,77.5946,"{""parking"": true, ""food"": true, ""security"": true}"
1fb6b199-623b-4a69-8429-14c1f19bd767,Chennai Relay Hub,13.0827,80.2707,"{""parking"": true, ""food"": true, ""security"": true}"
bc29f86a-b412-4ef8-bcd9-3316e9c33f6c,Kolkata Relay Hub,22.5726,88.3639,"{""parking"": true, ""food"": true, ""security"": true}"
