trip_id,segment_id,driver_id,type,risk_score
09f39325-934b-471f-b59e-2bd4273c59b0,aecfa63c-c5c7-4dbb-991a-e56cfa89afef,,handover_mismatch,74.1
07b6caa5-d8ad-4a11-a54f-d2bc275d99fa,2143342e-8388-4eec-821d-552a21e93160,00d3503e-ffe5-4e26-84be-9007a8a81e4c,gps_spoof,76.5
491866c3-c25d-4872-9992-cb33d77a82cb,41dfe48e-cd5e-486e-a1a2-76995aadf9a8,,handover_mismatch,63.7
72b61a2a-9b76-45c5-a80f-866da32c75b4,40009793-0a27-4d5f-a515-aca2eed461d1,083714ac-54b3-4d64-bc00-704dc355b5f8,gps_spoof,70.4
5796acbe-45b6-4255-a8c5-a834645377e7,b6b22e95-ae10-4c84-bfd4-32367e34919a,f90f6baa-4c59-416d-9cdd-708265156686,route_diversion,72.1
d6220a7a-f567-4868-bda9-4d20df35fdf6,7a27ae50-014f-4574-9f30-9d0ca909c3e5,c787e085-877f-4d78-a2c0-2d7e54816f5c,route_diversion,68.5
d913bdaf-7f72-48f3-9f5a-ad185a82512f,db1687a7-9a0f-466b-9b00-7c1d12e8c4c1,3fc6f138-6045-4882-8a16-2692f69d4228,gps_spoof,77.7
d913bdaf-7f72-48f3-9f5a-ad185a82512f,8e76eb3d-3baa-4838-bcda-afb5f567d67a,be09b6f7-4efa-4ac9-b363-71f395b927fa,gps_spoof,76.7
88743e18-55ec-4bb2-9a12-f85df8612136,5542711e-7dba-4afe-972a-1e70cf18341e,18302a3a-1801-411a-8579-869b4ba4edff,route_diversion,87.0
88743e18-55ec-4bb2-9a12-f85df8612136,5542711e-7dba-4afe-972a-1e70cf18341e,,handover_mismatch,76.3
0d666528-fd8a-4722-9376-27c620da86ef,1a061a3b-8993-4dca-9bc9-05ac04c563d8,d265c88a-1052-4bc1-b426-bc9a3e77f666,gps_spoof,80.8
0590974f-dbb6-4b17-a955-0416b2ea308e,b6f3e6bf-06be-43c1-a729-58227415ac54,083442ef-2844-4bf4-90c7-0a4c51e16ed0,route_diversion,78.4
006db5ff-5ec5-4ad6-82b6-c37b498e8e9a,62db5b6a-a930-4856-aa3d-d45d78c72773,0aa62c09-bc7a-4951-9708-4a86275ad8c6,gps_spoof,79.6
af8d1b14-2de0-409b-bcec-b42fe34000a7,38bc61fe-e9a9-4e0a-b627-8a11834d1a21,,handover_mismatch,88.4
3e3688d4-fa80-4d9c-b3d3-77eb61557db0,0ac65e6e-703b-4311-8962-7ba3ca9186fd,7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,gps_spoof,71.4
24cd764d-73ed-4c52-bd87-60fcf4a4946b,8f9fc34f-c08f-4d33-bf56-9ca0e8f5b0e3,b05b01d0-a319-4a48-8fe3-e2a08529ea69,gps_spoof,85.0
24cd764d-73ed-4c52-bd87-60fcf4a4946b,4124610b-658a-4cb2-97d2-dd214ce99220,463a85e7-e033-4bec-a267-bfa7aa85640d,route_diversion,93.5
d635fb3c-c047-44b4-b3cc-6039dfb8c49e,f9683464-b43c-49b9-9eaa-5723240c0b71,ca72bc65-aac8-4954-8b12-0a27325a1ce7,route_diversion,65.5
0cc533a1-ad7e-41b7-a447-5c30934d0dc3,770374b7-fbf2-45ce-8d4d-d847820e2609,7a135a62-fc87-4ff4-aa59-1019fc6df31e,route_diversion,66.2
ce13ae61-6446-442e-8e0d-232f8126a630,b1c8200a-ddb7-45cc-977b-ec305574c5fe,310f7ff6-c724-4278-b409-74d1ab8bf019,route_diversion,79.1
ce13ae61-6446-442e-8e0d-232f8126a630,5293a00c-641f-4707-aa60-297194b59333,69dc6351-3e90-4155-9ccd-371b5c0cdbf3,route_diversion,95.7
e9378d34-9971-432a-89f9-bd3a57649ca3,a544d38e-01de-4eaa-9076-5e78f7c263b9,6be0475c-e19c-4d4f-aced-f1b613d87548,route_diversion,69.2
e9378d34-9971-432a-89f9-bd3a57649ca3,e5253166-6423-4af2-a4e3-7306ec364a2a,,handover_mismatch,79.9
d19b5d8f-c1c9-4368-b481-67762eb41f0f,4d818a2e-d4fb-4d53-af4e-7caccd0fe985,69dc6351-3e90-4155-9ccd-371b5c0cdbf3,gps_spoof,76.2
10f0f415-870f-4a74-97b4-8de611e8a837,66f7240e-32ea-437b-ba29-1841ffbfaac2,463a85e7-e033-4bec-a267-bfa7aa85640d,gps_spoof,79.7
d23af861-3603-4617-bf8d-fec14096a032,30ec6e29-f998-4ea9-a496-3cf765828e24,,handover_mismatch,76.7
d134c32c-594a-43f1-a807-fd3438e3ae42,e67a9137-e94e-49ad-8b20-2beab53cf738,00d3503e-ffe5-4e26-84be-9007a8a81e4c,gps_spoof,83.4
e54ee320-8699-4dce-b6e5-d2ea075ebb94,12a769d4-144f-4e8e-a129-d7d3e1086b6e,0f6665ac-5ddd-43a7-a9a3-d15d46cfbc97,gps_spoof,70.4
33c23c2a-8e5d-4278-84e4-53af31c6e7a9,09058ed2-e23b-4b1d-b607-14f39879a3fc,,handover_mismatch,69.7
12bbacba-41b8-4980-8799-da3eda3a3dda,0da843ac-de28-4bba-9708-47d8a0dad7ce,,handover_mismatch,61.6
fff854ad-93a2-4909-871d-d071daa5a577,eb1cd98f-ea06-4274-beae-dcc268917021,7d45adbe-75c3-4cdd-bd1c-4b311c5baaab,gps_spoof,95.2
c5f174ae-911b-468b-96a2-35dfa2ec4c6a,50e5ee3e-eb1e-49d5-8198-b3621c79d467,00d3503e-ffe5-4e26-84be-9007a8a81e4c,route_diversion,70.1
52d7a2f6-a1e8-430e-bc51-dc90dce30517,865ef2c5-3892-493b-baf2-f7af8eae1d0a,6d65ee0b-0d87-4816-9b43-1e74af2b76bd,route_diversion,65.4
2bef0bac-306f-42d1-94ec-35595c9a4e5c,0ebb4ae2-6e8c-4991-b01c-a498f036da91,,handover_mismatch,81.7
45fa3a1f-2eaa-4169-8927-2635f81a3ec8,6924c41d-eab1-422c-aba6-2f71612fb614,,handover_mismatch,87.0
128d7ddf-ef5b-4409-b236-cc51654adb98,994fe3b8-c7c1-49fd-96c9-76b949ca1397,ade5ec49-869b-47d3-b852-1a9ceedbe841,route_diversion,81.6
cf045de9-7cb1-4504-b2ff-dfb577996e52,8fd4facc-aaa6-459f-88c5-bf852eeebf5e,af78bf6c-b541-45e3-93dd-9a69ae91a9ae,gps_spoof,74.1
b28b46e2-487b-4608-8065-eed0e31e703e,84351781-ea6e-4fea-881c-19d9e8d1c829,5a546a9f-4ddf-4c19-9b83-d659726fc137,gps_spoof,79.5
32f4bef5-4c9d-4c09-a6ef-254e19b393e0,2dcf98c7-54fc-4df1-95b1-c1cd39f46ff8,ca72bc65-aac8-4954-8b12-0a27325a1ce7,route_diversion,78.9
